,toid,mean_depth,p90ile_depth,Class,Area
132,osgb132,0.003,0.007,A) Low,350
133,osgb133,0.029,0.071,A) Low,200
134,osgb134,0.011,0.013,A) Low,200
135,osgb135,0.003,0.004,A) Low,375
136,osgb136,0.006,0.012,A) Low,375
137,osgb137,0.069,0.227,A) Low,375
138,osgb138,0.008,0.018,A) Low,375
139,osgb139,0.009,0.012,A) Low,200
140,osgb140,0.004,0.006,A) Low,200
141,osgb141,0.006,0.007,A) Low,200
142,osgb142,0.007,0.013,A) Low,1050
143,osgb143,0.061,0.203,A) Low,375
144,osgb144,0.024,0.093,A) Low,375
145,osgb145,0.011,0.03,A) Low,200
146,osgb146,0.004,0.005,A) Low,375
147,osgb147,0.008,0.013,A) Low,375
148,osgb148,0.014,0.017,A) Low,200
149,osgb149,0.017,0.006,A) Low,200
150,osgb150,0.417,0.54,C) High,350
151,osgb151,0.008,0.005,A) Low,350
152,osgb152,0.002,0.003,A) Low,350
153,osgb153,0.008,0.018,A) Low,350
154,osgb154,0.057,0.16,A) Low,350
155,osgb155,0.004,0.006,A) Low,350
156,osgb156,0.107,0.253,B) Medium,187
157,osgb157,0.01,0.014,A) Low,200
158,osgb158,0.027,0.039,A) Low,200
159,osgb159,0.002,0.003,A) Low,200
160,osgb160,0.004,0.006,A) Low,200
161,osgb161,0.005,0.007,A) Low,200
162,osgb162,0.011,0.012,A) Low,200
163,osgb163,0.008,0.013,A) Low,200
164,osgb164,0.006,0.007,A) Low,200
165,osgb165,0.018,0.037,A) Low,200
166,osgb166,0.011,0.026,A) Low,200
167,osgb167,0.004,0.006,A) Low,200
168,osgb168,0.01,0.017,A) Low,200
169,osgb169,0.014,0.017,A) Low,200
170,osgb170,0.015,0.046,A) Low,200
171,osgb171,0.042,0.053,A) Low,375
172,osgb172,0.059,0.164,A) Low,262
173,osgb173,0.004,0.007,A) Low,375
174,osgb174,0.025,0.042,A) Low,200
175,osgb175,0.004,0.007,A) Low,200
176,osgb176,0.008,0.012,A) Low,200
177,osgb177,0.008,0.012,A) Low,200
178,osgb178,0.102,0.395,C) High,375
179,osgb179,0.074,0.236,A) Low,375
180,osgb180,0.01,0.029,A) Low,262
181,osgb181,0.009,0.013,A) Low,200
182,osgb182,0.004,0.005,A) Low,200
183,osgb183,0.003,0.005,A) Low,200
184,osgb184,0.014,0.016,A) Low,200
185,osgb185,0.007,0.011,A) Low,200
186,osgb186,0.007,0.01,A) Low,200
187,osgb187,0.015,0.024,A) Low,200
188,osgb188,0.019,0.023,A) Low,200
189,osgb189,0.201,0.349,C) High,200
190,osgb190,0.364,0.436,C) High,200
191,osgb191,0.049,0.144,A) Low,350
192,osgb192,0.012,0.031,A) Low,350
193,osgb193,0.008,0.016,A) Low,350
194,osgb194,0.021,0.034,A) Low,350
195,osgb195,0.014,0.028,A) Low,375
196,osgb196,0.03,0.049,A) Low,375
